input_diff,output_diff,probability,count,total_samples
"d,3","1,6",0.9908196721311475,1511,1525
"c,3","0,6",0.9904458598726115,1555,1570
"f,3","3,6",0.990170380078637,1511,1526
"e,3","2,6",0.9889033942558747,1515,1532
"e,2","2,7",0.9884763124199744,1544,1562
"c,2","0,7",0.985625,1577,1600
"d,2","1,7",0.9833333333333333,1534,1560
"f,2","3,7",0.979679802955665,1591,1624
"e,0","2,1",0.9677631578947369,1471,1520
"d,4","1,5",0.9651236525047558,1522,1577
"f,1","3,0",0.962796664528544,1501,1559
"f,7","3,2",0.961437908496732,1471,1530
"c,4","0,5",0.9610136452241715,1479,1539
"e,6","2,3",0.9608452454940957,1546,1609
"f,0","3,1",0.9606637984019668,1563,1627
"d,6","1,3",0.9600257898130239,1489,1551
"d,0","1,1",0.9597625329815304,1455,1516
"e,5","2,4",0.9592209373097992,1576,1643
"e,4","2,5",0.9591451917033312,1526,1591
"f,4","3,5",0.9579560155239327,1481,1546
"d,5","1,4",0.9575289575289575,1488,1554
"c,1","0,0",0.9565217391304348,1540,1610
"d,1","1,0",0.9560301507537688,1522,1592
"f,6","3,3",0.955833882663151,1450,1517
"c,6","0,3",0.9558047493403694,1449,1516
"c,7","0,2",0.9556681443951869,1509,1579
"d,7","1,2",0.9555264879005886,1461,1529
"c,0","0,1",0.9548678272082527,1481,1551
"e,7","2,2",0.954401519949335,1507,1579
"e,1","2,0",0.9541639767591995,1478,1549
"c,5","0,4",0.9449838187702265,1460,1545
"f,5","3,4",0.9402035623409669,1478,1572
"e,3","3,7",0.9112271540469974,1396,1532
"c,6","15,1",0.9056728232189973,1373,1516
"d,3","2,7",0.8977049180327868,1369,1525
"c,3","1,7",0.8974522292993631,1409,1570
"f,3","0,7",0.8944954128440367,1365,1526
"e,5","3,2",0.8934875228241023,1468,1643
"e,6","13,1",0.8931013051584835,1437,1609
"e,1","0,2",0.8908973531310523,1380,1549
"e,1","15,0",0.8908973531310523,1380,1549
"c,1","2,2",0.8894409937888199,1432,1610
"c,1","13,0",0.8894409937888199,1432,1610
"e,3","13,4",0.8883812010443864,1361,1532
"d,6","12,1",0.8878143133462283,1377,1551
"f,6","14,1",0.8866183256427159,1345,1517
"c,4","2,7",0.884990253411306,1362,1539
"c,4","13,5",0.884990253411306,1362,1539
"d,1","3,2",0.8844221105527639,1408,1592
"d,1","14,0",0.8844221105527639,1408,1592
"c,6","15,4",0.8839050131926122,1340,1516
"c,5","1,2",0.883495145631068,1365,1545
"e,6","13,4",0.8831572405220633,1421,1609
"d,5","12,5",0.8828828828828829,1372,1554
"f,3","14,4",0.8820445609436435,1346,1526
"e,1","3,6",0.881213686249193,1365,1549
"e,5","13,5",0.8807060255629945,1447,1643
"f,6","14,4",0.8800263678312459,1335,1517
"e,4","0,7",0.8761785040854808,1394,1591
"e,4","15,5",0.8761785040854808,1394,1591
"f,5","0,2",0.8759541984732825,1377,1572
"f,1","0,6",0.8755612572161642,1365,1559
"d,3","12,4",0.8754098360655738,1335,1525
"f,1","1,2",0.8749198203976908,1364,1559
"f,1","12,0",0.8749198203976908,1364,1559
"d,4","3,7",0.8744451490171211,1379,1577
"d,4","14,5",0.8744451490171211,1379,1577
"e,5","0,6",0.8734023128423616,1435,1643
"e,5","15,4",0.8734023128423616,1435,1643
"d,7","12,0",0.8731196860693263,1335,1529
"e,7","13,0",0.8727042431918937,1378,1579
"f,4","1,7",0.8725743855109961,1349,1546
"f,4","12,5",0.8725743855109961,1349,1546
"c,3","15,4",0.8719745222929937,1369,1570
"c,5","15,5",0.8711974110032362,1346,1545
"d,1","2,6",0.8706030150753769,1386,1592
"d,5","2,2",0.87001287001287,1352,1554
"e,0","3,7",0.8697368421052631,1322,1520
"f,0","0,7",0.869698832206515,1415,1627
"c,3","15,7",0.8687898089171975,1364,1570
"c,0","1,7",0.8684719535783365,1347,1551
"f,5","1,6",0.8683206106870229,1365,1572
"f,5","12,4",0.8683206106870229,1365,1572
"d,5","3,6",0.8674388674388674,1348,1554
"d,5","14,4",0.8674388674388674,1348,1554
"d,6","12,4",0.8671824629271437,1345,1551
"c,5","2,6",0.8647249190938512,1336,1545
"c,5","13,4",0.8647249190938512,1336,1545
"f,5","14,5",0.8645038167938931,1359,1572
"c,7","15,0",0.8644711842938568,1365,1579
"f,7","14,0",0.8633986928104576,1321,1530
"f,3","14,7",0.8623853211009175,1316,1526
"d,0","2,7",0.8594986807387863,1303,1516
"c,7","1,3",0.8556048131728943,1351,1579
"e,3","13,7",0.8531331592689295,1307,1532
"f,0","0,2",0.8524892440073756,1387,1627
"d,3","12,7",0.8524590163934426,1300,1525
"c,1","1,6",0.8509316770186336,1370,1610
"e,7","3,3",0.8499050031665611,1342,1579
"e,7","13,3",0.8486383787207094,1340,1579
"c,0","1,2",0.8478401031592521,1315,1551
"e,0","3,2",0.8473684210526315,1288,1520
"d,7","2,3",0.8456507521255723,1293,1529
"d,2","2,0",0.842948717948718,1315,1560
"c,2","1,0",0.840625,1345,1600
"f,7","0,3",0.8405228758169935,1286,1530
"f,2","0,0",0.8386699507389163,1362,1624
"d,0","11,7",0.8383905013192612,1271,1516
"f,4","0,6",0.8382923673997412,1296,1546
"d,5","2,5",0.8378378378378378,1302,1554
"d,1","2,1",0.8366834170854272,1332,1592
"d,0","2,2",0.8364116094986808,1268,1516
"c,7","15,3",0.8359721342621913,1320,1579
"d,6","2,4",0.8355899419729207,1296,1551
