input_diff,output_word,probability,count,total_samples
"f,0",0,1.0,943,943
"f,0",1,1.0,943,943
"f,0",9,1.0,943,943
"f,0",12,1.0,943,943
"d,5",1,1.0,937,937
"d,5",2,1.0,937,937
"d,5",3,1.0,937,937
"d,5",6,1.0,937,937
"d,5",14,1.0,937,937
"f,4",0,1.0,920,920
"f,4",1,1.0,920,920
"f,4",3,1.0,920,920
"f,4",6,1.0,920,920
"f,4",12,1.0,920,920
"f,4",14,1.0,920,920
"c,0",0,1.0,953,953
"c,0",1,1.0,953,953
"c,0",2,1.0,953,953
"c,0",10,1.0,953,953
"c,0",13,1.0,953,953
"e,1",0,1.0,932,932
"e,1",2,1.0,932,932
"e,1",3,1.0,932,932
"e,1",13,1.0,932,932
"e,1",15,1.0,932,932
"c,3",0,1.0,948,948
"c,3",1,1.0,948,948
"c,3",2,1.0,948,948
"c,3",7,1.0,948,948
"c,3",13,1.0,948,948
"c,3",15,1.0,948,948
"d,2",1,1.0,958,958
"d,2",2,1.0,958,958
"d,2",3,1.0,958,958
"d,2",7,1.0,958,958
"d,2",14,1.0,958,958
"d,0",1,1.0,892,892
"d,0",2,1.0,892,892
"d,0",3,1.0,892,892
"d,0",12,1.0,892,892
"d,0",14,1.0,892,892
"e,6",0,1.0,968,968
"e,6",2,1.0,968,968
"e,6",3,1.0,968,968
"e,6",13,1.0,968,968
"e,6",15,1.0,968,968
"e,7",0,1.0,943,943
"e,7",2,1.0,943,943
"e,7",3,1.0,943,943
"e,7",13,1.0,943,943
"e,7",14,1.0,943,943
"e,7",15,1.0,943,943
"d,1",1,1.0,955,955
"d,1",2,1.0,955,955
"d,1",3,1.0,955,955
"d,1",12,1.0,955,955
"d,1",14,1.0,955,955
"e,3",0,1.0,896,896
"e,3",2,1.0,896,896
"e,3",3,1.0,896,896
"e,3",7,1.0,896,896
"e,3",13,1.0,896,896
"e,3",15,1.0,896,896
"f,6",0,1.0,922,922
"f,6",1,1.0,922,922
"f,6",3,1.0,922,922
"f,6",12,1.0,922,922
"c,7",0,1.0,970,970
"c,7",1,1.0,970,970
"c,7",2,1.0,970,970
"c,7",13,1.0,970,970
"c,1",0,1.0,980,980
"c,1",1,1.0,980,980
"c,1",2,1.0,980,980
"c,1",9,1.0,980,980
"c,1",10,1.0,980,980
"c,1",13,1.0,980,980
"c,4",0,1.0,911,911
"c,4",1,1.0,911,911
"c,4",2,1.0,911,911
"c,4",13,1.0,911,911
"c,4",15,1.0,911,911
"d,4",2,1.0,957,957
"d,4",3,1.0,957,957
"d,4",14,1.0,957,957
"e,4",0,1.0,980,980
"e,4",2,1.0,980,980
"e,4",3,1.0,980,980
"e,4",8,1.0,980,980
"e,4",13,1.0,980,980
"e,4",15,1.0,980,980
"f,3",0,1.0,903,903
"f,3",1,1.0,903,903
"f,3",3,1.0,903,903
"f,3",4,1.0,903,903
"f,3",12,1.0,903,903
"f,1",0,1.0,909,909
"f,1",1,1.0,909,909
"f,1",3,1.0,909,909
"f,1",9,1.0,909,909
"f,1",12,1.0,909,909
"f,1",14,1.0,909,909
"d,6",1,1.0,911,911
"d,6",2,1.0,911,911
"d,6",3,1.0,911,911
"d,6",13,1.0,911,911
"d,6",14,1.0,911,911
"f,2",0,1.0,959,959
"f,2",1,1.0,959,959
"f,2",3,1.0,959,959
"f,2",12,1.0,959,959
"d,3",1,1.0,940,940
"d,3",2,1.0,940,940
"d,3",3,1.0,940,940
"d,3",11,1.0,940,940
"d,3",14,1.0,940,940
"f,5",0,1.0,931,931
"f,5",1,1.0,931,931
"f,5",3,1.0,931,931
"f,5",12,1.0,931,931
"e,2",0,1.0,924,924
"e,2",2,1.0,924,924
"e,2",3,1.0,924,924
"e,2",13,1.0,924,924
"e,2",15,1.0,924,924
"c,6",0,1.0,876,876
"c,6",1,1.0,876,876
"c,6",10,1.0,876,876
"c,6",15,1.0,876,876
"c,2",0,1.0,982,982
"c,2",1,1.0,982,982
"c,2",2,1.0,982,982
"c,2",13,1.0,982,982
"c,5",0,1.0,923,923
"c,5",1,1.0,923,923
"c,5",2,1.0,923,923
"c,5",13,1.0,923,923
"c,5",15,1.0,923,923
"e,5",0,1.0,1002,1002
"e,5",2,1.0,1002,1002
"e,5",3,1.0,1002,1002
"e,5",13,1.0,1002,1002
"e,5",15,1.0,1002,1002
"d,7",1,1.0,929,929
"d,7",2,1.0,929,929
"d,7",3,1.0,929,929
"d,7",11,1.0,929,929
"d,7",14,1.0,929,929
"e,0",0,1.0,904,904
"e,0",2,1.0,904,904
"e,0",3,1.0,904,904
"e,0",4,1.0,904,904
"e,0",15,1.0,904,904
"f,7",0,1.0,942,942
"f,7",1,1.0,942,942
"f,7",12,1.0,942,942
"e,5",1,0.999001996007984,1001,1002
"c,2",10,0.9989816700610998,981,982
"c,2",15,0.9989816700610998,981,982
"c,1",5,0.9989795918367347,979,980
"c,1",15,0.9989795918367347,979,980
"c,7",5,0.9989690721649485,969,970
"c,7",6,0.9989690721649485,969,970
"c,7",10,0.9989690721649485,969,970
"c,7",12,0.9989690721649485,969,970
"c,7",15,0.9989690721649485,969,970
"e,6",8,0.9989669421487604,967,968
"f,2",8,0.9989572471324296,958,959
"f,2",9,0.9989572471324296,958,959
"d,2",11,0.9989561586638831,957,958
"d,2",12,0.9989561586638831,957,958
"d,2",13,0.9989561586638831,957,958
"d,4",1,0.9989550679205852,956,957
"d,4",12,0.9989550679205852,956,957
"d,1",4,0.9989528795811519,954,955
"d,1",6,0.9989528795811519,954,955
"c,0",3,0.9989506820566632,952,953
"c,0",5,0.9989506820566632,952,953
"c,0",7,0.9989506820566632,952,953
"c,0",15,0.9989506820566632,952,953
"c,3",10,0.9989451476793249,947,948
"f,0",3,0.9989395546129375,942,943
"f,7",3,0.9989384288747346,941,942
"f,7",9,0.9989384288747346,941,942
"f,7",14,0.9989384288747346,941,942
"d,3",4,0.9989361702127659,939,940
"d,3",6,0.9989361702127659,939,940
"d,3",7,0.9989361702127659,939,940
"d,3",12,0.9989361702127659,939,940
"d,5",11,0.9989327641408752,936,937
"e,1",7,0.9989270386266095,931,932
"e,1",8,0.9989270386266095,931,932
"f,5",2,0.9989258861439313,930,931
"f,5",4,0.9989258861439313,930,931
"f,5",9,0.9989258861439313,930,931
"f,5",14,0.9989258861439313,930,931
"d,7",12,0.9989235737351991,928,929
"e,2",5,0.9989177489177489,923,924
"e,2",8,0.9989177489177489,923,924
"e,2",12,0.9989177489177489,923,924
"c,5",10,0.9989165763813651,922,923
"f,6",9,0.9989154013015185,921,922
"f,6",14,0.9989154013015185,921,922
"f,4",9,0.9989130434782608,919,920
"c,4",10,0.9989023051591658,910,911
"d,6",12,0.9989023051591658,910,911
"e,0",7,0.9988938053097345,903,904
"e,0",8,0.9988938053097345,903,904
"e,0",14,0.9988938053097345,903,904
"f,3",9,0.9988925802879292,902,903
"f,3",13,0.9988925802879292,902,903
"f,3",14,0.9988925802879292,902,903
"e,3",5,0.9988839285714286,895,896
"c,6",2,0.9988584474885844,875,876
"c,6",13,0.9988584474885844,875,876
"e,5",4,0.998003992015968,1000,1002
"c,2",3,0.9979633401221996,980,982
"c,2",4,0.9979633401221996,980,982
"c,1",4,0.9979591836734694,978,980
"c,1",14,0.9979591836734694,978,980
"e,4",6,0.9979591836734694,978,980
"e,4",12,0.9979591836734694,978,980
"e,6",11,0.9979338842975206,966,968
"f,2",5,0.9979144942648592,957,959
"f,2",13,0.9979144942648592,957,959
"f,2",14,0.9979144942648592,957,959
"d,2",5,0.9979123173277662,956,958
"d,4",4,0.9979101358411703,955,957
"d,4",9,0.9979101358411703,955,957
"d,4",11,0.9979101358411703,955,957
"d,1",11,0.9979057591623036,953,955
"d,1",13,0.9979057591623036,953,955
"c,0",9,0.9979013641133263,951,953
"c,0",14,0.9979013641133263,951,953
"c,3",4,0.9978902953586498,946,948
"c,3",5,0.9978902953586498,946,948
"c,3",6,0.9978902953586498,946,948
"c,3",9,0.9978902953586498,946,948
"c,3",12,0.9978902953586498,946,948
"f,0",4,0.9978791092258749,941,943
"f,0",14,0.9978791092258749,941,943
"f,0",15,0.9978791092258749,941,943
"e,7",4,0.9978791092258749,941,943
"e,7",6,0.9978791092258749,941,943
"e,7",7,0.9978791092258749,941,943
"e,7",8,0.9978791092258749,941,943
"e,7",9,0.9978791092258749,941,943
"f,7",8,0.9978768577494692,940,942
"d,3",0,0.997872340425532,938,940
"d,5",0,0.9978655282817502,935,937
"d,5",4,0.9978655282817502,935,937
"d,5",12,0.9978655282817502,935,937
"d,5",15,0.9978655282817502,935,937
"e,1",14,0.9978540772532188,930,932
"f,5",15,0.9978517722878625,929,931
"d,7",6,0.9978471474703983,927,929
"d,7",13,0.9978471474703983,927,929
"f,4",2,0.9978260869565218,918,920
"c,4",12,0.9978046103183315,909,911
"d,6",10,0.9978046103183315,909,911
"f,1",2,0.9977997799779978,907,909
"f,1",4,0.9977997799779978,907,909
"f,1",5,0.9977997799779978,907,909
"f,1",6,0.9977997799779978,907,909
"f,1",7,0.9977997799779978,907,909
"f,1",8,0.9977997799779978,907,909
"f,1",15,0.9977997799779978,907,909
"e,0",13,0.9977876106194691,902,904
"f,3",2,0.9977851605758582,901,903
"f,3",6,0.9977851605758582,901,903
"e,3",8,0.9977678571428571,894,896
"e,3",12,0.9977678571428571,894,896
"e,3",14,0.9977678571428571,894,896
"d,0",6,0.9977578475336323,890,892
"d,0",15,0.9977578475336323,890,892
"e,5",14,0.9970059880239521,999,1002
"c,2",5,0.9969450101832994,979,982
"c,2",6,0.9969450101832994,979,982
"c,1",6,0.996938775510204,977,980
